gene_a	gene_b	n_both	g1_only	g2_only	neither	odds_ratio	p_value	q_value_bh
ATM	CTNNB1	69	490	343	5660	2.3236746593681206	2.473618972460499e-08	5.09715424628224e-08
ATM	STK11	25	534	126	5877	2.1836543606206527	0.0010243187540029722	0.0013394937552346558
ATM	SMARCA4	85	474	302	5701	3.3852027272473246	3.1450010456701705e-17	1.5275719364683684e-16
ATM	PBRM1	83	476	333	5670	2.9689984101748808	5.020487877721666e-14	1.8966287538059627e-13
ATM	CREBBP	108	451	362	5641	3.731597064840563	1.3242970784293288e-23	1.1256525166649296e-22
ATM	MGA	110	449	323	5680	4.308163307522047	4.845529260747011e-28	6.589919794615935e-27
ATM	PTPRD	112	447	409	5594	3.426964878598426	5.9580658052860315e-22	4.501649719549446e-21
KRAS	EGFR	26	760	337	5439	0.552139622052163	0.0026678651133649465	0.0033287124350241536
KRAS	PIK3CA	183	603	1173	4603	1.1909039627098947	0.054357032772628544	0.06212232316871834
KRAS	AKT3	18	768	97	5679	1.3721810567010309	0.2442408706434548	0.2636250667262687
KRAS	PTEN	123	663	738	5038	1.2664655605832076	0.02801854381207729	0.032568563747371895
KRAS	ERBB4	78	708	383	5393	1.551289994247024	0.0013174688518256426	0.0017064358461741657
KRAS	APC	240	546	586	5190	3.8930352923526983	4.917141518286935e-47	2.229104154956744e-45
KRAS	CTNNB1	52	734	360	5416	1.0658189524674537	0.6949898877702104	0.7106663514041249
KRAS	STK11	50	736	101	5675	3.817127636676711	4.0804795881203295e-12	1.2332116088541441e-11
KRAS	SMARCA4	47	739	340	5436	1.0168431107219613	0.9356420415237063	0.9356420415237063
KRAS	PBRM1	31	755	385	5391	0.5749410854046616	0.0023073232018109386	0.002905518105984145
KRAS	CREBBP	69	717	401	5375	1.2899237262492305	0.06520736948927906	0.07390168542118293
KRAS	MGA	54	732	379	5397	1.0504995890825728	0.7592448347227916	0.764868870535553
KRAS	PTPRD	66	720	455	5321	1.071996336996337	0.6224446674560472	0.6462020975116215
EGFR	PIK3CA	71	292	1285	4914	0.9298384947497468	0.6407257864155262	0.6601417193372089
EGFR	AKT3	24	339	91	6108	4.7519206457259555	1.070140171927497e-08	2.274047865345931e-08
EGFR	PTEN	93	270	768	5431	2.4357783564814817	3.9042222370412246e-11	1.0411259298776599e-10
EGFR	ERBB4	63	300	398	5801	3.0608291457286434	7.31089357895858e-12	2.1154926100816317e-11
EGFR	APC	68	295	758	5441	1.6546129421761102	0.0005866821720083382	0.0007822428960111176
EGFR	CTNNB1	39	324	373	5826	1.8801012809055704	0.0007659260136515576	0.001011319785015649
EGFR	STK11	13	350	138	6061	1.6313250517598343	0.10271700638821364	0.11357327535607362
EGFR	SMARCA4	41	322	346	5853	2.153924173338599	4.579470777350641e-05	6.696860491609539e-05
EGFR	PBRM1	46	317	370	5829	2.286077244436866	4.009141959192926e-06	6.569196463255879e-06
EGFR	CREBBP	61	302	409	5790	2.8594212989199956	1.4828204640682406e-10	3.804973266288315e-10
EGFR	MGA	64	299	369	5830	3.3818237847930317	9.668040523972479e-14	3.46014081910594e-13
EGFR	PTPRD	69	294	452	5747	2.984039190897598	3.4045940385507484e-12	1.0523290664611405e-11
PIK3CA	AKT3	43	1313	72	5134	2.335216213929085	3.4772548851306876e-05	5.254518493086372e-05
PIK3CA	PTEN	273	1083	588	4618	1.9797520116079672	2.503118357607005e-16	1.1347469887818423e-15
PIK3CA	ERBB4	112	1244	349	4857	1.2529689788923797	0.04897690504235955	0.05644795835390592
PIK3CA	APC	230	1126	596	4610	1.579952793639062	1.4577126910229105e-07	2.832127513987369e-07
PIK3CA	CTNNB1	128	1228	284	4922	1.8064871312565949	2.957508099381262e-07	5.509878102956873e-07
PIK3CA	STK11	20	1336	131	5075	0.5799469762764548	0.024715136837249352	0.028976367326430275
PIK3CA	SMARCA4	98	1258	289	4917	1.3254025448204159	0.023328842495983843	0.027588891995250456
PIK3CA	PBRM1	93	1263	323	4883	1.1131759116948443	0.3812304076715396	0.40191732901805727
PIK3CA	CREBBP	133	1223	337	4869	1.571212977767857	4.256332101235961e-05	6.29196919313142e-05
PIK3CA	MGA	133	1223	300	4906	1.7784082856364132	3.0136524780425373e-07	5.538604554240338e-07
PIK3CA	PTPRD	124	1232	397	4809	1.2192008243645522	0.07102092160476736	0.07982516808469721
